experiment_id,session_id,device_id,event_id,type,device_time,logged_time,time,confidence_interval,delay,filter_id,eye,gaze_x,gaze_y,gaze_z,eye_cam_x,eye_cam_y,eye_cam_z,angle_x,angle_y,raw_x,raw_y,pupil_measure1,pupil_measure1_type,pupil_measure2,pupil_measure2_type,ppd_x,ppd_y,velocity_x,velocity_y,velocity_xy,status
1,1,0,8128,51,9709.463635,84.31514180000158,84.18566120000105,-1.0,0.1294806,0,22,7.0,-370.0,0.0,0.76850194,2.0507455,53.295372,-2.1415315,1.8641508,0.3382047,0.51737064,48.98948,74,3.4438336,77,0.0,0.0,0.0,0.0,0.0,0
1,1,0,8146,51,9709.547585,84.40198760000021,84.26961120000124,-1.0,0.1323764,0,22,-139.0,-375.0,0.0,0.76850194,2.0507455,53.295372,-2.2078843,1.8973786,0.33674696,0.5177939,49.238052,74,3.4451652,77,0.0,0.0,0.0,0.0,0.0,0
1,1,0,8423,51,9710.699489,85.62069520000114,85.42151520000152,-1.0,0.19918,0,22,62.0,8.0,0.0,0.6162966,2.175856,53.988464,-2.1940145,1.6831515,0.33567387,0.47057822,48.56685,74,3.445701,77,0.0,0.0,0.0,0.0,0.0,0
1,1,0,8424,51,9710.707703,85.62069520000114,85.42972920000102,-1.0,0.190966,0,22,60.0,26.0,0.0,0.6162966,2.175856,53.988464,-2.1986773,1.675096,0.33423775,0.46785244,47.750626,74,3.387188,77,0.0,0.0,0.0,0.0,0.0,0
1,1,0,8426,51,9710.876330000001,85.73536580000109,85.59835620000194,-1.0,0.1370096,0,22,79.0,53.0,0.0,0.6162966,2.175856,53.988464,-2.1965928,1.6574317,0.33441532,0.46176466,50.246708,74,3.5656574,77,0.0,0.0,0.0,0.0,0.0,0
1,1,0,8427,51,9710.885034,85.73536580000109,85.6070602000018,-1.0,0.1283056,0,22,76.0,58.0,0.0,0.6162966,2.175856,53.988464,-2.1987073,1.6557422,0.33382672,0.4611911,51.675186,74,3.6687138,77,0.0,0.0,0.0,0.0,0.0,0
1,1,0,8428,51,9710.891477000001,85.73536580000109,85.61350320000201,-1.0,0.1218626,0,22,63.0,41.0,0.0,0.6162966,2.175856,53.988464,-2.20113,1.6663526,0.33451462,0.46418682,49.62675,74,3.5202012,77,0.0,0.0,0.0,0.0,0.0,0
1,1,0,9052,51,9713.499504000001,88.34436840000126,88.22153020000223,-1.0,0.1228382,0,22,22.0,38.0,0.0,0.55918133,2.2334175,54.45447,-2.2179093,1.6756539,0.33045813,0.4710444,46.465496,74,3.330393,77,0.0,0.0,0.0,0.0,0.0,0
1,1,0,9182,51,9714.035631,88.89798760000122,88.75765720000163,-1.0,0.1403304,0,21,30.0,70.0,0.0,0.52294344,-6.717628,69.9403,-2.3262749,1.3733168,0.35225192,0.5886084,46.88912,74,4.4162593,77,0.0,0.0,0.0,0.0,0.0,0
1,1,0,9308,51,9714.571726,89.4304929000009,89.29375220000111,-1.0,0.1367407,0,21,-179.0,151.0,0.0,0.534543,-6.71727,69.96732,-2.2300944,1.4455625,0.36755148,0.60777956,44.924797,74,4.195556,77,0.0,0.0,0.0,0.0,0.0,0
1,1,0,9751,51,9716.443514,91.30149210000127,91.16554020000149,-1.0,0.1359519,0,21,216.0,223.0,0.0,0.5238378,-6.7390633,70.02375,-2.4423168,1.4211028,0.3277263,0.59824675,42.92359,74,4.0266714,77,0.0,0.0,0.0,0.0,0.0,0
1,1,0,9985,51,9717.439648000001,92.29284420000113,92.16167420000238,-1.0,0.13117,0,22,356.0,184.0,0.0,0.5094722,2.236792,54.754837,-2.1034462,1.5334823,0.36164516,0.4337761,44.061413,74,3.1580093,77,0.0,0.0,0.0,0.0,0.0,0
1,1,0,10404,51,9719.21566,94.0481587000013,93.93768620000083,-1.0,0.1104725,0,22,581.0,-177.0,0.0,0.46267268,2.271723,54.827866,-1.9362001,1.6493564,0.39441672,0.45627528,48.087635,74,3.454836,77,0.0,0.0,0.0,0.0,0.0,0
1,1,0,10877,51,9721.191737000001,96.0766934000003,95.913763200002,-1.0,0.1629302,0,22,489.0,-75.0,0.0,0.6088602,2.2322152,54.02278,-1.99399,1.6256706,0.38418993,0.45188445,49.396904,74,3.490055,77,0.0,0.0,0.0,0.0,0.0,0
1,1,0,10878,51,9721.210709,96.0766934000003,95.93273520000184,-1.0,0.1439582,0,22,363.0,-8.0,0.0,0.6088602,2.2322152,54.02278,-2.0594144,1.6234248,0.36900485,0.45403963,53.34493,74,3.777715,77,0.0,0.0,0.0,0.0,0.0,0
1,1,0,10879,51,9721.215530000001,96.0766934000003,95.93755620000229,-1.0,0.1391372,0,22,266.0,-26.0,0.0,0.6088602,2.2322152,54.02278,-2.0962517,1.6527913,0.35985643,0.46380904,47.831028,74,3.3865118,77,0.0,0.0,0.0,0.0,0.0,0
1,1,0,10882,51,9721.239621,96.12257920000047,95.96164720000161,-1.0,0.160932,0,22,62.0,-23.0,0.0,0.6088602,2.2322152,54.02278,-2.1863253,1.6963649,0.338614,0.47726485,47.972572,74,3.406002,77,0.0,0.0,0.0,0.0,0.0,0
1,1,0,10883,51,9721.247751,96.12257920000047,95.96977720000177,-1.0,0.152802,0,22,8.0,-47.0,0.0,0.6088602,2.2322152,54.02278,-2.2054243,1.7189716,0.33462512,0.48388222,45.62704,74,3.239783,77,0.0,0.0,0.0,0.0,0.0,0
