 ** Video Info ** 
Video File:
	Name:	poisson.mp4
	Frame Count:	379.0
	Video Duration:	14.037037037037036
	Width:	1280
	Height:	720
	FPS:	27.0
	Play Audio Track:	True
Video Display:
	Window Resolution:	[2560 1080]
	Window Fullscreen:	True
	Drawn Size:	[1280.  720.]
	Refresh Rate (reported / calculated):	60 / 60.03691069243398

 ** Video Playback Stats ** 
Playback Time: 14.161
Total Frames Dropped: 3
Draw duration (min, max, mean): (0.003008, 0.024939, 0.004086)
Flip duration (min, max, mean): (0.004389, 0.095396, 0.012759)
Draw + Flip duration (min, max, mean): (0.012378, 0.100319, 0.016846)
Frame Display Interval (min, max, mean): (0.000000, 1.034616, 0.040115)
Effective Frame Interval (min, max, mean): (0.000000, 1.034616, 0.040038)

 ** Column Definitions ** 
frame_num:	The frame index being displayed. Range is 1 to video frame count.
frame_flip_time:	The time returned by win.flip() for the current frame_num.
playback_duration:	current frame_flip_time minus the first video frame_flip_time.
frame_num_dx:	Equals current frame_num - the last flipped frame_num.
dropped_count:	Total number of video frames dropped so far.
draw_duration:	The time taken for the current video frames .draw() call to return.
flip_duration:	The time taken for the win.flip() call to return.
flip_interval:	current frame_num frame_flip_time - last frame_flip_time.
per_frame_interval:	Equals flip_interval / frame_num_dx.
fps:	Equals playback_duration / current frame_num.

 ** Per Frame Video Playback Data ** 
frame_num	frame_flip_time	playback_duration	frame_num_dx	dropped_count	draw_duration	flip_duration	flip_interval	per_frame_interval	fps
196	54.668995	8.201931	1	3	0.004653	0.013086	0.039762	0.039762	23.897
197	54.703718	8.236654	1	3	0.004868	0.011674	0.034723	0.034723	23.917
198	54.741916	8.274852	1	3	0.003576	0.013275	0.038198	0.038198	23.928
199	54.776859	8.309795	1	3	0.003655	0.011238	0.034943	0.034943	23.948
200	54.816667	8.349604	1	3	0.004717	0.013078	0.039809	0.039809	23.953
201	54.849831	8.382767	1	3	0.003479	0.011597	0.033164	0.033164	23.978
202	54.888065	8.421002	1	3	0.003363	0.013042	0.038234	0.038234	23.988
203	54.926592	8.459528	1	3	0.004364	0.012643	0.038527	0.038527	23.997
204	54.962487	8.495423	1	3	0.004724	0.011503	0.035895	0.035895	24.013
205	54.999723	8.532659	1	3	0.003960	0.012415	0.037236	0.037236	24.025
206	55.039035	8.571971	1	3	0.004377	0.013390	0.039312	0.039312	24.032
207	55.072333	8.605269	1	3	0.003666	0.011512	0.033298	0.033298	24.055
208	55.110427	8.643363	1	3	0.004198	0.012163	0.038094	0.038094	24.065
209	55.149266	8.682203	1	3	0.003973	0.013317	0.038840	0.038840	24.072
210	55.185128	8.718065	1	3	0.003380	0.012725	0.035862	0.035862	24.088
211	55.224331	8.757267	1	3	0.004460	0.013106	0.039203	0.039203	24.094
212	55.257857	8.790793	1	3	0.003488	0.011675	0.033526	0.033526	24.116
213	55.295830	8.828766	1	3	0.003372	0.012888	0.037973	0.037973	24.126
214	55.331759	8.864695	1	3	0.003805	0.012435	0.035929	0.035929	24.141
215	55.370896	8.903832	1	3	0.004295	0.013191	0.039137	0.039137	24.147
216	55.405986	8.938922	1	3	0.003428	0.012285	0.035090	0.035090	24.164
217	55.444948	8.977884	1	3	0.004742	0.011996	0.038962	0.038962	24.171
218	55.480150	9.013087	1	3	0.003728	0.011330	0.035202	0.035202	24.187
219	55.519539	9.052475	1	3	0.004423	0.013128	0.039388	0.039388	24.192
220	55.554889	9.087825	1	3	0.003522	0.012373	0.035350	0.035350	24.208
221	55.590701	9.123638	1	3	0.003525	0.012297	0.035813	0.035813	24.223
222	55.628429	9.161365	1	3	0.003580	0.012068	0.037728	0.037728	24.232
223	55.665933	9.198870	1	3	0.004953	0.012289	0.037504	0.037504	24.242
224	55.703911	9.236847	1	3	0.004390	0.012942	0.037977	0.037977	24.251
225	55.739383	9.272319	1	3	0.003641	0.012266	0.035472	0.035472	24.266
226	55.776997	9.309933	1	3	0.003402	0.012211	0.037614	0.037614	24.275
227	55.816603	9.349540	1	3	0.005192	0.013117	0.039607	0.039607	24.279
228	55.852807	9.385743	1	3	0.004117	0.012505	0.036204	0.036204	24.292
229	55.889199	9.422135	1	3	0.003737	0.012379	0.036392	0.036392	24.304
230	55.926787	9.459723	1	3	0.004512	0.012291	0.037588	0.037588	24.314
231	55.962892	9.495828	1	3	0.004725	0.011284	0.036105	0.036105	24.326
232	55.998704	9.531641	1	3	0.003488	0.012414	0.035812	0.035812	24.340
233	56.037259	9.570195	1	3	0.003424	0.013144	0.038554	0.038554	24.346
234	56.072684	9.605620	1	3	0.003677	0.012410	0.035425	0.035425	24.361
